x,y,z,bridge,tunnel
2101.766,-2754.794,251.615,0,0
2106.237,-2750.258,251.680,0,0
2110.613,-2745.665,251.732,0,0
2114.848,-2741.065,251.776,0,0
2118.990,-2736.411,251.832,0,0
2123.022,-2731.715,251.941,0,0
2126.873,-2727.071,252.125,0,0
2130.620,-2722.386,252.368,0,0
2134.254,-2717.662,252.635,0,0
2137.704,-2712.963,252.904,0,0
2141.046,-2708.226,253.167,0,0
2144.308,-2703.507,253.422,0,0
2147.373,-2698.972,253.666,0,0
2150.362,-2694.454,253.895,0,0
2153.364,-2689.939,254.111,0,0
2156.418,-2685.409,254.313,0,0
2159.486,-2680.881,254.504,0,0
2162.566,-2676.355,254.686,0,0
2165.669,-2671.820,254.859,0,0
2168.786,-2667.286,255.030,0,0
2171.915,-2662.756,255.201,0,0
2175.085,-2658.190,255.373,0,0
2178.268,-2653.627,255.542,0,0
2181.410,-2649.140,255.710,0,0
2184.338,-2644.970,255.879,0,0
2187.228,-2640.869,256.046,0,0
2190.136,-2636.786,256.208,0,0
2193.073,-2632.718,256.360,0,0
2196.026,-2628.667,256.504,0,0
2198.984,-2624.632,256.640,0,0
2201.922,-2620.638,256.768,0,0
2204.863,-2616.658,256.886,0,0
2207.809,-2612.694,256.994,0,0
2210.745,-2608.784,257.083,0,0
2213.686,-2604.888,257.140,0,0
2216.610,-2600.973,257.161,0,0
2219.545,-2597.044,257.157,0,0
2222.463,-2593.094,257.147,0,0
2225.304,-2589.017,257.144,0,0
2228.196,-2584.582,257.155,0,0
2231.004,-2580.009,257.187,0,0
2233.603,-2575.362,257.241,0,0
2235.932,-2570.748,257.320,0,0
2238.060,-2566.064,257.417,0,0
2239.925,-2561.321,257.520,0,0
2241.515,-2556.620,257.615,0,0
2242.851,-2551.861,257.705,0,0
2243.820,-2547.025,257.815,0,0
2244.381,-2542.011,257.979,0,0
2244.564,-2536.916,258.220,0,0
2244.399,-2531.807,258.541,0,0
2243.802,-2526.567,258.925,0,0
2242.840,-2521.313,259.346,0,0
2241.746,-2516.118,259.777,0,0
2240.575,-2511.100,260.200,0,0
2239.276,-2506.139,260.604,0,0
2237.976,-2501.195,260.980,0,0
2236.675,-2496.335,261.324,0,0
2235.374,-2491.491,261.633,0,0
2234.227,-2486.556,261.907,0,0
2233.231,-2481.305,262.153,0,0
2232.401,-2475.956,262.372,0,0
2231.818,-2470.558,262.563,0,0
2231.519,-2465.004,262.727,0,0
2231.475,-2459.400,262.864,0,0
2231.638,-2453.869,262.977,0,0
2232.034,-2448.651,263.066,0,0
2232.625,-2443.502,263.131,0,0
2233.241,-2438.383,263.168,0,0
2233.879,-2433.391,263.178,0,0
